t1,t2,t3,t4,t5,t6,t7,t8,t9,pre
29,36,36,29,29,30,30,29,29,35
36,36,29,29,30,30,29,29,35,35
36,29,29,30,30,29,29,35,35,29
29,29,30,30,29,29,35,35,29,29
29,30,30,29,29,35,35,29,29,29
30,30,29,29,35,35,29,29,29,29
30,29,29,35,35,29,29,29,29,29
29,29,35,35,29,29,29,29,29,29
29,35,35,29,29,29,29,29,29,36
35,35,29,29,29,29,29,29,36,36
35,29,29,29,29,29,29,36,36,36
29,29,29,29,29,29,36,36,36,36
29,29,29,29,29,36,36,36,36,29
29,29,29,29,36,36,36,36,29,29
29,29,29,36,36,36,36,29,29,29
29,29,36,36,36,36,29,29,29,29
29,36,36,36,36,29,29,29,29,36
36,36,36,36,29,29,29,29,36,36
36,36,36,29,29,29,29,36,36,29
36,36,29,29,29,29,36,36,29,29
36,29,29,29,29,36,36,29,29,36
29,29,29,29,36,36,29,29,36,36
29,29,29,36,36,29,29,36,36,29
29,29,36,36,29,29,36,36,29,29
29,36,36,29,29,36,36,29,29,35
36,36,29,29,36,36,29,29,35,35
36,29,29,36,36,29,29,35,35,29
29,29,36,36,29,29,35,35,29,29
29,36,36,29,29,35,35,29,29,36
36,36,29,29,35,35,29,29,36,36
36,29,29,35,35,29,29,36,36,29
29,29,35,35,29,29,36,36,29,29
29,35,35,29,29,36,36,29,29,29
35,35,29,29,36,36,29,29,29,29
35,29,29,36,36,29,29,29,29,36
29,29,36,36,29,29,29,29,36,36
29,36,36,29,29,29,29,36,36,29
36,36,29,29,29,29,36,36,29,29
36,29,29,29,29,36,36,29,29,36
29,29,29,29,36,36,29,29,36,36
29,29,29,36,36,29,29,36,36,29
29,29,36,36,29,29,36,36,29,29
29,36,36,29,29,36,36,29,29,35
36,36,29,29,36,36,29,29,35,35
36,29,29,36,36,29,29,35,35,29
29,29,36,36,29,29,35,35,29,29
29,36,36,29,29,35,35,29,29,35
36,36,29,29,35,35,29,29,35,35
36,29,29,35,35,29,29,35,35,35
29,29,35,35,29,29,35,35,35,35
29,35,35,29,29,35,35,35,35,29
35,35,29,29,35,35,35,35,29,29
35,29,29,35,35,35,35,29,29,35
29,29,35,35,35,35,29,29,35,35
29,35,35,35,35,29,29,35,35,35
35,35,35,35,29,29,35,35,35,35
35,35,35,29,29,35,35,35,35,29
35,35,29,29,35,35,35,35,29,29
35,29,29,35,35,35,35,29,29,36
29,29,35,35,35,35,29,29,36,36
29,35,35,35,35,29,29,36,36,29
35,35,35,35,29,29,36,36,29,29
35,35,35,29,29,36,36,29,29,35
35,35,29,29,36,36,29,29,35,35
35,29,29,36,36,29,29,35,35,29
29,29,36,36,29,29,35,35,29,29
29,36,36,29,29,35,35,29,29,35
36,36,29,29,35,35,29,29,35,35
36,29,29,35,35,29,29,35,35,35
29,29,35,35,29,29,35,35,35,35
29,35,35,29,29,35,35,35,35,29
35,35,29,29,35,35,35,35,29,29
35,29,29,35,35,35,35,29,29,35
29,29,35,35,35,35,29,29,35,35
29,35,35,35,35,29,29,35,35,35
35,35,35,35,29,29,35,35,35,35
35,35,35,29,29,35,35,35,35,29
35,35,29,29,35,35,35,35,29,29
35,29,29,35,35,35,35,29,29,35
29,29,35,35,35,35,29,29,35,35
29,35,35,35,35,29,29,35,35,29
35,35,35,35,29,29,35,35,29,29
35,35,35,29,29,35,35,29,29,34
35,35,29,29,35,35,29,29,34,34
35,29,29,35,35,29,29,34,34,29
29,29,35,35,29,29,34,34,29,29
29,35,35,29,29,34,34,29,29,35
35,35,29,29,34,34,29,29,35,35
35,29,29,34,34,29,29,35,35,29
29,29,34,34,29,29,35,35,29,29
29,34,34,29,29,35,35,29,29,35
34,34,29,29,35,35,29,29,35,35
34,29,29,35,35,29,29,35,35,29
29,29,35,35,29,29,35,35,29,29
29,35,35,29,29,35,35,29,29,29
35,35,29,29,35,35,29,29,29,29
35,29,29,35,35,29,29,29,29,35
29,29,35,35,29,29,29,29,35,35
29,35,35,29,29,29,29,35,35,29
35,35,29,29,29,29,35,35,29,29
35,29,29,29,29,35,35,29,29,29
29,29,29,29,35,35,29,29,29,29
29,29,29,35,35,29,29,29,29,35
29,29,35,35,29,29,29,29,35,35
29,35,35,29,29,29,29,35,35,29
35,35,29,29,29,29,35,35,29,29
35,29,29,29,29,35,35,29,29,29
29,29,29,29,35,35,29,29,29,29
29,29,29,35,35,29,29,29,29,29
29,29,35,35,29,29,29,29,29,29
29,35,35,29,29,29,29,29,29,30
35,35,29,29,29,29,29,29,30,30
35,29,29,29,29,29,29,30,30,35
29,29,29,29,29,29,30,30,35,35
29,29,29,29,29,30,30,35,35,30
29,29,29,29,30,30,35,35,30,30
29,29,29,30,30,35,35,30,30,35
29,29,30,30,35,35,30,30,35,35
29,30,30,35,35,30,30,35,35,29
30,30,35,35,30,30,35,35,29,29
30,35,35,30,30,35,35,29,29,35
35,35,30,30,35,35,29,29,35,35
35,30,30,35,35,29,29,35,35,29
30,30,35,35,29,29,35,35,29,29
30,35,35,29,29,35,35,29,29,36
35,35,29,29,35,35,29,29,36,36
35,29,29,35,35,29,29,36,36,29
29,29,35,35,29,29,36,36,29,29
29,35,35,29,29,36,36,29,29,35
35,35,29,29,36,36,29,29,35,35
35,29,29,36,36,29,29,35,35,29
29,29,36,36,29,29,35,35,29,29
29,36,36,29,29,35,35,29,29,35
36,36,29,29,35,35,29,29,35,35
36,29,29,35,35,29,29,35,35,29
29,29,35,35,29,29,35,35,29,29
29,35,35,29,29,35,35,29,29,29
35,35,29,29,35,35,29,29,29,29
35,29,29,35,35,29,29,29,29,35
29,29,35,35,29,29,29,29,35,35
29,35,35,29,29,29,29,35,35,29
35,35,29,29,29,29,35,35,29,29
35,29,29,29,29,35,35,29,29,35
29,29,29,29,35,35,29,29,35,35
29,29,29,35,35,29,29,35,35,29
29,29,35,35,29,29,35,35,29,29
29,35,35,29,29,35,35,29,29,35
35,35,29,29,35,35,29,29,35,35
35,29,29,35,35,29,29,35,35,29
29,29,35,35,29,29,35,35,29,29
29,35,35,29,29,35,35,29,29,36
35,35,29,29,35,35,29,29,36,36
35,29,29,35,35,29,29,36,36,29
29,29,35,35,29,29,36,36,29,29
29,35,35,29,29,36,36,29,29,29
35,35,29,29,36,36,29,29,29,29
35,29,29,36,36,29,29,29,29,30
29,29,36,36,29,29,29,29,30,30
29,36,36,29,29,29,29,30,30,29
36,36,29,29,29,29,30,30,29,29
36,29,29,29,29,30,30,29,29,30
29,29,29,29,30,30,29,29,30,30
29,29,29,30,30,29,29,30,30,29
29,29,30,30,29,29,30,30,29,29
29,30,30,29,29,30,30,29,29,30
30,30,29,29,30,30,29,29,30,30
30,29,29,30,30,29,29,30,30,30
29,29,30,30,29,29,30,30,30,30
29,30,30,29,29,30,30,30,30,29
30,30,29,29,30,30,30,30,29,29
30,29,29,30,30,30,30,29,29,29
29,29,30,30,30,30,29,29,29,29
29,30,30,30,30,29,29,29,29,30
30,30,30,30,29,29,29,29,30,30
30,30,30,29,29,29,29,30,30,36
30,30,29,29,29,29,30,30,36,36
30,29,29,29,29,30,30,36,36,29
29,29,29,29,30,30,36,36,29,29
29,29,29,30,30,36,36,29,29,29
29,29,30,30,36,36,29,29,29,29
29,30,30,36,36,29,29,29,29,36
30,30,36,36,29,29,29,29,36,36
30,36,36,29,29,29,29,36,36,29
36,36,29,29,29,29,36,36,29,29
36,29,29,29,29,36,36,29,29,29
29,29,29,29,36,36,29,29,29,29
29,29,29,36,36,29,29,29,29,29
29,29,36,36,29,29,29,29,29,29
29,36,36,29,29,29,29,29,29,29
36,36,29,29,29,29,29,29,29,29
36,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,36
29,29,29,29,29,29,29,29,36,36
29,29,29,29,29,29,29,36,36,29
29,29,29,29,29,29,36,36,29,29
29,29,29,29,29,36,36,29,29,29
29,29,29,29,36,36,29,29,29,29
29,29,29,36,36,29,29,29,29,36
29,29,36,36,29,29,29,29,36,36
29,36,36,29,29,29,29,36,36,29
36,36,29,29,29,29,36,36,29,29
36,29,29,29,29,36,36,29,29,29
29,29,29,29,36,36,29,29,29,29
29,29,29,36,36,29,29,29,29,36
29,29,36,36,29,29,29,29,36,36
29,36,36,29,29,29,29,36,36,29
36,36,29,29,29,29,36,36,29,29
36,29,29,29,29,36,36,29,29,29
29,29,29,29,36,36,29,29,29,29
29,29,29,36,36,29,29,29,29,29
29,29,36,36,29,29,29,29,29,29
29,36,36,29,29,29,29,29,29,29
36,36,29,29,29,29,29,29,29,29
36,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,36
29,29,29,29,29,29,29,29,36,36
29,29,29,29,29,29,29,36,36,29
29,29,29,29,29,29,36,36,29,29
29,29,29,29,29,36,36,29,29,36
29,29,29,29,36,36,29,29,36,36
29,29,29,36,36,29,29,36,36,29
29,29,36,36,29,29,36,36,29,29
29,36,36,29,29,36,36,29,29,29
36,36,29,29,36,36,29,29,29,29
36,29,29,36,36,29,29,29,29,29
29,29,36,36,29,29,29,29,29,29
29,36,36,29,29,29,29,29,29,29
36,36,29,29,29,29,29,29,29,29
36,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,36
29,29,29,29,29,29,29,29,36,36
29,29,29,29,29,29,29,36,36,29
29,29,29,29,29,29,36,36,29,29
29,29,29,29,29,36,36,29,29,36
29,29,29,29,36,36,29,29,36,36
29,29,29,36,36,29,29,36,36,29
29,29,36,36,29,29,36,36,29,29
29,36,36,29,29,36,36,29,29,29
36,36,29,29,36,36,29,29,29,29
36,29,29,36,36,29,29,29,29,29
29,29,36,36,29,29,29,29,29,29
29,36,36,29,29,29,29,29,29,36
36,36,29,29,29,29,29,29,36,36
36,29,29,29,29,29,29,36,36,29
29,29,29,29,29,29,36,36,29,29
29,29,29,29,29,36,36,29,29,36
29,29,29,29,36,36,29,29,36,36
29,29,29,36,36,29,29,36,36,35
29,29,36,36,29,29,36,36,35,35
29,36,36,29,29,36,36,35,35,36
36,36,29,29,36,36,35,35,36,36
36,29,29,36,36,35,35,36,36,37
29,29,36,36,35,35,36,36,37,37
29,36,36,35,35,36,36,37,37,29
36,36,35,35,36,36,37,37,29,29
36,35,35,36,36,37,37,29,29,29
35,35,36,36,37,37,29,29,29,29
35,36,36,37,37,29,29,29,29,36
36,36,37,37,29,29,29,29,36,36
36,37,37,29,29,29,29,36,36,29
37,37,29,29,29,29,36,36,29,29
37,29,29,29,29,36,36,29,29,36
29,29,29,29,36,36,29,29,36,36
29,29,29,36,36,29,29,36,36,36
29,29,36,36,29,29,36,36,36,36
29,36,36,29,29,36,36,36,36,29
36,36,29,29,36,36,36,36,29,29
36,29,29,36,36,36,36,29,29,36
29,29,36,36,36,36,29,29,36,36
29,36,36,36,36,29,29,36,36,35
36,36,36,36,29,29,36,36,35,35
36,36,36,29,29,36,36,35,35,29
36,36,29,29,36,36,35,35,29,29
36,29,29,36,36,35,35,29,29,36
29,29,36,36,35,35,29,29,36,36
29,36,36,35,35,29,29,36,36,29
36,36,35,35,29,29,36,36,29,29
36,35,35,29,29,36,36,29,29,29
35,35,29,29,36,36,29,29,29,29
35,29,29,36,36,29,29,29,29,36
29,29,36,36,29,29,29,29,36,36
29,36,36,29,29,29,29,36,36,29
36,36,29,29,29,29,36,36,29,29
36,29,29,29,29,36,36,29,29,36
29,29,29,29,36,36,29,29,36,36
29,29,29,36,36,29,29,36,36,29
29,29,36,36,29,29,36,36,29,29
29,36,36,29,29,36,36,29,29,36
36,36,29,29,36,36,29,29,36,36
36,29,29,36,36,29,29,36,36,29
29,29,36,36,29,29,36,36,29,29
29,36,36,29,29,36,36,29,29,36
36,36,29,29,36,36,29,29,36,36
36,29,29,36,36,29,29,36,36,29
29,29,36,36,29,29,36,36,29,29
29,36,36,29,29,36,36,29,29,29
36,36,29,29,36,36,29,29,29,29
36,29,29,36,36,29,29,29,29,29
29,29,36,36,29,29,29,29,29,29
29,36,36,29,29,29,29,29,29,29
36,36,29,29,29,29,29,29,29,29
36,29,29,29,29,29,29,29,29,37
29,29,29,29,29,29,29,29,37,37
29,29,29,29,29,29,29,37,37,29
29,29,29,29,29,29,37,37,29,29
29,29,29,29,29,37,37,29,29,29
29,29,29,29,37,37,29,29,29,29
29,29,29,37,37,29,29,29,29,36
29,29,37,37,29,29,29,29,36,36
29,37,37,29,29,29,29,36,36,29
37,37,29,29,29,29,36,36,29,29
37,29,29,29,29,36,36,29,29,29
29,29,29,29,36,36,29,29,29,29
29,29,29,36,36,29,29,29,29,29
29,29,36,36,29,29,29,29,29,29
29,36,36,29,29,29,29,29,29,29
36,36,29,29,29,29,29,29,29,29
36,29,29,29,29,29,29,29,29,36
29,29,29,29,29,29,29,29,36,36
29,29,29,29,29,29,29,36,36,29
29,29,29,29,29,29,36,36,29,29
29,29,29,29,29,36,36,29,29,37
29,29,29,29,36,36,29,29,37,37
29,29,29,36,36,29,29,37,37,29
29,29,36,36,29,29,37,37,29,29
29,36,36,29,29,37,37,29,29,29
36,36,29,29,37,37,29,29,29,29
36,29,29,37,37,29,29,29,29,29
29,29,37,37,29,29,29,29,29,29
29,37,37,29,29,29,29,29,29,29
37,37,29,29,29,29,29,29,29,29
37,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,36
29,29,29,29,29,29,29,29,36,36
29,29,29,29,29,29,29,36,36,37
29,29,29,29,29,29,36,36,37,37
29,29,29,29,29,36,36,37,37,36
29,29,29,29,36,36,37,37,36,36
29,29,29,36,36,37,37,36,36,29
29,29,36,36,37,37,36,36,29,29
29,36,36,37,37,36,36,29,29,36
36,36,37,37,36,36,29,29,36,36
36,37,37,36,36,29,29,36,36,29
37,37,36,36,29,29,36,36,29,29
37,36,36,29,29,36,36,29,29,36
36,36,29,29,36,36,29,29,36,36
